File,ID,Identity
IGLM_sars_COV2.fasta,sequence_1,0.8938053097345132
IGLM_sars_COV2.fasta,sequence_2,0.8521739130434782
IGLM_sars_COV2.fasta,sequence_3,0.8771929824561403
IGLM_sars_COV2.fasta,sequence_4,0.9652173913043478
IGLM_sars_COV2.fasta,sequence_5,0.8782608695652174
IGLM_sars_COV2.fasta,sequence_6,0.8695652173913043
IGLM_sars_COV2.fasta,sequence_7,0.8632478632478633
IGLM_sars_COV2.fasta,sequence_8,0.8849557522123894
IGLM_sars_COV2.fasta,sequence_9,0.8782608695652174
IGLM_sars_COV2.fasta,sequence_10,0.8706896551724138
IGLM_sars_COV2.fasta,sequence_11,0.864406779661017
IGLM_sars_COV2.fasta,sequence_12,0.8596491228070176
IGLM_sars_COV2.fasta,sequence_13,0.8928571428571429
IGLM_sars_COV2.fasta,sequence_14,0.8672566371681416
IGLM_sars_COV2.fasta,sequence_15,0.8974358974358975
IGLM_sars_COV2.fasta,sequence_16,0.8695652173913043
IGLM_sars_COV2.fasta,sequence_17,0.8706896551724138
IGLM_sars_COV2.fasta,sequence_18,0.918918918918919
IGLM_sars_COV2.fasta,sequence_19,0.8695652173913043
IGLM_sars_COV2.fasta,sequence_20,0.8849557522123894
IGLM_sars_COV2.fasta,sequence_21,0.8706896551724138
IGLM_sars_COV2.fasta,sequence_22,0.9196428571428571
IGLM_sars_COV2.fasta,sequence_23,0.8771929824561403
IGLM_sars_COV2.fasta,sequence_24,0.8547008547008547
IGLM_sars_COV2.fasta,sequence_25,0.8938053097345132
IGLM_sars_COV2.fasta,sequence_26,0.8319327731092437
IGLM_sars_COV2.fasta,sequence_27,0.8859649122807017
IGLM_sars_COV2.fasta,sequence_28,0.8839285714285714
IGLM_sars_COV2.fasta,sequence_29,0.8695652173913043
IGLM_sars_COV2.fasta,sequence_30,0.8859649122807017
IGLM_sars_COV2.fasta,sequence_31,0.8956521739130435
IGLM_sars_COV2.fasta,sequence_32,0.8416666666666667
IGLM_sars_COV2.fasta,sequence_33,0.8859649122807017
IGLM_sars_COV2.fasta,sequence_34,0.9017857142857143
IGLM_sars_COV2.fasta,sequence_35,0.8706896551724138
IGLM_sars_COV2.fasta,sequence_36,0.9203539823008849
IGLM_sars_COV2.fasta,sequence_37,0.8632478632478633
IGLM_sars_COV2.fasta,sequence_38,0.8761061946902655
IGLM_sars_COV2.fasta,sequence_39,0.9017857142857143
IGLM_sars_COV2.fasta,sequence_40,0.8947368421052632
IGLM_sars_COV2.fasta,sequence_41,0.911504424778761
IGLM_sars_COV2.fasta,sequence_42,0.8828828828828829
IGLM_sars_COV2.fasta,sequence_43,0.8448275862068966
IGLM_sars_COV2.fasta,sequence_44,0.8487394957983193
IGLM_sars_COV2.fasta,sequence_45,0.9122807017543859
IGLM_sars_COV2.fasta,sequence_46,0.8660714285714286
IGLM_sars_COV2.fasta,sequence_47,0.8761061946902655
IGLM_sars_COV2.fasta,sequence_48,0.8278688524590164
IGLM_sars_COV2.fasta,sequence_49,0.8879310344827587
IGLM_sars_COV2.fasta,sequence_50,0.8938053097345132
IGLM_sars_COV2.fasta,sequence_51,0.8559322033898306
